Transcription-Units	Genes of transcription unit	Regulated-By
chpSB	chpS // chpB	
yfbO	yfbO	
cdsA	cdsA	
asnW	asnW	
fabDG-acpP	acpP // fabG // fabD	
yciA	yciA	
yaaI	yaaI	
yhiJ	yhiJ	Regulation of yhiJ by DNA-binding transcriptional dual regulator Nac
eno	eno	
yhhQ	yhhQ	Regulation of yhhQ by DNA-binding transcriptional dual regulator Nac
pnp	pnp	Regulation of pnp by 30S ribosomal subunit protein S1 // Regulation of pnp by polynucleotide phosphorylase
bglX	bglX	
pmrD	pmrD	
dnaKJ	tpke11 // dnaK // dnaJ	
gspCDEFGHIJKLMO	gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC	
hspQ	hspQ	
ydgC	ydgC	
ysaB	ysaB	
topA	topA	
yejLM	lapC // yejL	
pstSCAB-phoU	phoU // pstB // pstA // pstC // pstS	
cbpAM	cbpM // cbpA	
ycfT	ycfT	
rrsC-gltU-rrlC-rrfC	rrfC // rrlC // gltU // rrsC	
ydbJ	ydbJ	
yheO-tusDCB	yheO // tusD // tusC // tusB	
hisJQMP	hisP // hisM // hisQ // hisJ	
grxA	grxA	
fldB	fldB	
thrLABC	thrL // thrA // thrB // thrC	Regulation of thrLABC by ppGpp
fadBA	fadA // fadB	
tufA	tufA	
nudI	nudI	
sibA	sibA	
rnpB	rnpB	
ruvAB	ruvB // ruvA	
yfbV	yfbV	Regulation of yfbV by DNA-binding transcriptional dual regulator Nac
insE3EF3F3	insF3 // insE3 // insEF3	
bamE	bamE	
ssb	ssb	
grxB	grxB	
ybjK	rcdA	Regulation of ybjK by DNA binding transcriptional dual regulator RcdA // Regulation of ybjK by DNA binding transcriptional dual regulator RcdA
ymgF	ymgF	
rpiA	rpiA	
allS	allS	
mdtQ	mdtQ	
diaA	diaA	
yeiQ	yeiQ	
ansA-pncA	pncA // ansA	
arcA	arcA	
hcp-hcr	hcr // hcp	
yheSTU	yheU // yheT // yheS	
yiaY	yiaY	
cfa	cfa	Regulation of cfa by small regulatory RNA CpxQ // Regulation of cfa by small regulatory RNA ArrS // Regulation of cfa by small regulatory RNA RydC
mlaFEDCB	mlaF // mlaE // mlaD // mlaC // mlaB	
rbsDACBKR	rbsR // rbsD // rbsA // rbsC // rbsB // rbsK	Regulation of rbsDACBKR by small regulatory RNA GcvB // Regulation of rbsDACBKR by small regulatory RNA DsrA
yccA	yccA	
yciE	yciE	
ryfD	ryfD	
dadAX	dadX // dadA	
fhuE	fhuE	
argE	argE	
xylR	xylR	
glnK-amtB	amtB // glnK	
sixA	sixA	
acpT	acpT	
ycaN	ycaN	Regulation of ycaN by DNA-binding transcriptional dual regulator Nac
yfeN	yfeN	
purC	purC	
asd	asd	Regulation of asd by small regulatory RNA GcvB // Regulation of asd by small regulatory RNA SgrS // Regulation of asd by small regulatory RNA SgrS // Regulation of asd by DNA-binding transcriptional dual regulator ArgP
yoaE	yoaE	
gspAB	gspB // gspA	
lrp	lrp	Regulation of lrp by small regulatory RNA GcvB // Regulation of lrp by small regulatory RNA DsrA // Regulation of lrp by small regulatory RNA MicF // Regulation of lrp by small regulatory RNA GcvB
istR-1	istR	
rdlD	rdlD	
ycgN	ycgN	
uvrYC	uvrC // uvrY	
trhP	trhP	
ychN	ychN	
yhiD	yhiD	
rrsG-gltW-rrlG-rrfG	rrfG // rrlG // gltW // rrsG	
ydcK	ydcK	Regulation of ydcK by DNA-binding transcriptional repressor GlaR // Regulation of ydcK by ppGpp
gfcA	gfcA	
baeSR	baeS // baeR	
ymdB-clsC	clsC // ymdB	
trxB	trxB	
infC	infC	
galF	galF	
ileS-lspA-fkpB-ispH	ispH // fkpB // lspA // ileS	
pstB-phoU	phoU // pstB	
yhfL	yhfL	Regulation of yhfL by DNA-binding transcriptional dual regulator Nac
arcA	arcA	
nrfABCDEFG	nrfA // nrfB // nrfC // nrfD // nrfE // nrfF // nrfG	
rbn	rbn	
yeaP	dgcP	
kbaZ-agaVWA	agaA // agaW // agaV // kbaZ	
yceQ	yceQ	
livKHMGF	livF // livG // livM // livH // livK	
dcuA	dcuA	
insB7	insB7	
yebA	mepM	
narXL	narL // narX	
sanA-yeiS	yeiS // sanA	
micF	micF	
ymfED	ymfE // ymfD	
hypF	hypF	
yfaY	yfaY	
ycbX	ycbX	
cbpA-cbpM	cbpM // cbpA	
xdhABC	xdhB // xdhC // xdhA	
oppABCDF	oppA // oppB // oppC // oppD // oppF	Regulation of oppABCDF by spermidine // Regulation of oppABCDF by small regulatory RNA GcvB
yhcADE	yhcE // yhcD // yhcA	
zwf	zwf	
mviM	yceM	
smf	smf	
yohO	yohO	Regulation of yohO by DNA-binding transcriptional dual regulator Nac
glf-rfc	wbbH // glf	
pdxJ-acpS	acpS // pdxJ	
yegTUV	yegV // yegU // yegT	
yiiS-uspD	uspD // yiiS	
yhjG	yhjG	
yccM	yccM	Regulation of yccM by DNA-binding transcriptional dual regulator Nac
ppiD	ppiD	
acpP-fabF	fabF // acpP	
agp	agp	Regulation of agp by ppGpp
bcr	bcr	
yoaI	yoaI	
relBE-hokD	hokD // relE // relB	
isrC-flu	isrC // flu	
cyaA	cyaA	
gadW	gadW	
pstS	pstS	
mfd	mfd	
cstA	cstA	
arcA	arcA	
ilvLXG_1G_2MEDA	ilvX // ilvG // ilvA // ilvD // ilvE // ilvM // ilvL	
yegH	yegH	
yedP	yedP	Regulation of yedP by ppGpp
malI	malI	
nanR	nanR	
rpsO-pnp	pnp // rpsO	
cspG	cspG	
ycaD	ycaD	Regulation of ycaD by DNA-binding transcriptional dual regulator Nac
rrsB-gltT-rrlB-rrfB	rrfB // rrlB // gltT // rrsB	
thiMD	thiM // thiD	Regulation of thiMD by thiamine diphosphate
pinE	pinE	
kefGB-yheV	kefG // kefB // yheV	
insC3D3CD3	insC3 // insD3 // insCD3	
hofQ	hofQ	
rrsG-gltW-rrlG-rrfG	rrfG // rrlG // gltW // rrsG	
yhhN	yhhN	
gntKU	gntU // gntK	
ogrK	ogrK	
yohD	yohD	
ycaK	ycaK	Regulation of ycaK by DNA-binding transcriptional dual regulator Nac
yhjY	yhjY	
ydaM	dgcM	Regulation of ydaM by small regulatory RNA OmrB // Regulation of ydaM by small regulatory RNA OmrA // Regulation of ydaM by small regulatory RNA RprA
fumB	fumB	
yeiE	yeiE	Regulation of yeiE by DNA-binding transcriptional dual regulator Nac
cydAB	cydB // cydA	
prpBCDE	prpE // prpD // prpC // prpB	
ydiM	ydiM	Regulation of ydiM by DNA-binding transcriptional dual regulator Nac
gfcBCD	gfcB // gfcC // gfcD	
fimE	fimE	
yccX	yccX	
speB	speB	
yceB	yceB	
iraM	iraM	
yojI	yojI	Regulation of yojI by ppGpp
metJ	metJ	
ycaO	ycaO	
livJ	livJ	
guaBA	guaA // guaB	
hsdRMS	hsdS // hsdM // hsdR	
hupB	hupB	
csgDEFG	csgG // csgF // csgE // csgD	
adhE	adhE	
yceH	yceH	
ssrS-ygfA	fau // ssrS	
wrbA-yccJ	wrbA // yccJ	Regulation of wrbA-yccJ by ppGpp
degQS	degS // degQ	
gspAB	gspB // gspA	
uvrD	uvrD	
rcnB	rcnB	
ppsA	ppsA	
narU	narU	
fliLMNOPQR	fliR // fliQ // fliP // fliO // fliN // fliM // fliL	
recF	recF	
rimK-ybjN	ybjN // rimK	
nanCM	nanM // nanC	
ytjB-lplA	lplA // ytjB	
yhhH	yhhH	
upp-uraA	uraA // upp	
yegX	yegX	
nrdHIEF	nrdH // nrdI // nrdF // nrdE	
marRAB	marR // marA // marB	
yqeK	yqeK	Regulation of yqeK by DNA-binding transcriptional dual regulator Nac
yohJK	yohK // yohJ	
accBC	accB // accC	
yddH	yddH	
ybgA-phr	phr // ybgA	Regulation of ybgA-phr by ppGpp
holC	holC	
nmpC	nmpC	Regulation of nmpC by small regulatory RNA RybB
rnc-era-recO-pdxJ-acpS	acpS // pdxJ // recO // era // rnc	
yoeF	yoeF	
yrfG-hslR	hslR // yrfG	
aaeXAB	aaeX // aaeA // aaeB	
pabC-mltG-tmk-holB-ycfH	ycfH // holB // tmk // mltG // pabC	
dps	dps	Regulation of dps by ppGpp
lpp	lpp	
dfp	dfp	
ycaI-msbA-lpxK-ycaQ	ycaQ // lpxK // msbA // ycaI	
sdhDAB	sdhB // sdhA // sdhD	
soxS	soxS	Regulation of soxS by small regulatory RNA MgrR
pstCAB-phoU	phoU // pstB // pstA // pstC	
serA	serA	
ssuEADCB	ssuB // ssuC // ssuD // ssuA // ssuE	
yeiG	yeiG	
yhfZY	yhfZ // yhfY	
msrA	msrA	
comR	comR	
yqhA	yqhA	
mreBCD	mreD // mreC // mreB	
rpoE-rseABC	rseD // rseC // rseB // rseA // rpoE	
yhcO	yhcO	Regulation of yhcO by ppGpp
sohA-yhaV	yhaV // prlF	
cpxRA	cpxA // cpxR	Regulation of cpxRA by small regulatory RNA MicF
fepDGC	fepC // fepG // fepD	
yccU	yccU	Regulation of yccU by DNA-binding transcriptional repressor GlaR // Regulation of yccU by ppGpp
ddpXABCDF	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	
ryhB	ryhB	
atpBEFHAGDC	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB	
sbmC	sbmC	
yqgD	yqgD	
yccE	yccE	
galETK	galK // galT // galE	
insE4F4EF4	insE4 // insF4 // insEF4	
ldtD	ldtD	
nupX	nupX	
ycbJ	ycbJ	
yjiR	yjiR	
mrp	mrp	
ymbA	pqiC	
nfo	nfo	
hupB	hupB	
csrD	csrD	
eda	eda	
tonB	tonB	
ycgZ	ycgZ	
rsmB	rsmB	
dsbA	dsbA	
mtlADR	mtlA // mtlD // mtlR	
mglBAC	mglC // mglA // mglB	
ilvIH	ilvH // ilvI	
gntP	gntP	
rnlAB	rnlB // rnlA	
ybiV	ybiV	
plaR	plaR	
mgtA	mgtL // mgtA	
hemF	hemF	
yfaATSQP	yfaA // yfaT // yfaS // yfaQ // yfaP	
greB	greB	Regulation of greB by DNA-binding transcriptional dual regulator Nac
yraL	rsmI	
galETKM	galM // galK // galT // galE	
treR	treR	
yehE	yehE	Regulation of yehE by DNA-binding transcriptional repressor GlaR // Regulation of yehE by DNA-binding transcriptional dual regulator Nac // Regulation of yehE by ppGpp
rplKAJL-rpoBC	rpoC // rpoB // rplL // rplJ // rplA // rplK	Regulation of rplKAJL-rpoBC by 50S ribosomal subunit protein L1
insH-7	insH7	
secG	secG	
ycgB	ycgB	Regulation of ycgB by ppGpp
yeeZ	yeeZ	Regulation of yeeZ by DNA-binding transcriptional dual regulator Nac
hns	hns	Regulation of hns by small regulatory RNA DsrA
proVWX	proX // proW // proV	
plaP	plaP	
phr	phr	
ghrA	ghrA	
elfA	elfA	Regulation of elfA by DNA-binding transcriptional dual regulator Nac // Regulation of elfA by DNA-binding transcriptional dual regulator SlyA
aqpZ	aqpZ	
rpoE-rseABC	rseD // rseC // rseB // rseA // rpoE	
acrEF	acrE // acrF	
gyrB	gyrB	
yraQ	yraQ	
trxA	trxA	
treR	treR	
pncB	pncB	
pbl	pbl	
cyaR	cyaR	
rhaM	rhaM	
dnaQ	dnaQ	
mobAB	mobB // mobA	
deoBD	deoD // deoB	
rpsA-ihfB	ihfB // rpsA	
mnmA	mnmA	
gcvA	gcvA	
ung	ung	
grcA	grcA	
yhdU	yhdU	
yjjX	yjjX	
yehK	yehK	
yefM-yoeB	yefM // yoeB	
copA	copA	
pabA	pabA	
pspF	pspF	
yhdV	yhdV	Regulation of yhdV by DNA-binding transcriptional dual regulator Nac
gltBDF	gltB // gltD // gltF	
ysgA	ysgA	Regulation of ysgA by small regulatory RNA GcvB // Regulation of ysgA by ppGpp
yehR	yehR	
sraB	sraB	
ubiUV	ubiV // ubiU	
folP-glmM	folP // glmM	
fhuF	fhuF	
zapC	zapC	
pdeI-dgcI	dgcI // pdeI	Regulation of pdeI-dgcI by carbon storage regulator
glpEGR	glpR // glpG // glpE	
trpCBA	trpA // trpB // trpC	
glpR	glpR	
ryjA	ryjA	
yncE	yncE	
yodC	yodC	
ytfA	ytfA	
ptsG	ptsG	Regulation of ptsG by small regulatory RNA SgrS
glpFKX	glpX // glpK // glpF	
galP	galP	
murQP	murP // murQ	
topA	topA	
rimO	rimO	
ybjQ-amiD	amiD // ybjQ	
ispG-sroE	ispG // sroE	
cynTSX	cynT // cynS // cynX	
gntR	gntR	
cyaR	cyaR	
umpH	umpH	
fecABCDE	fecE // fecD // fecC // fecB // fecA	
rseABC	rseC // rseB // rseA	
ycbZ	ycbZ	
lysC	lysC	
topA	topA	
gspCDEFGHIJKLMO	gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC	
wcaKLM	wcaK // wcaL // wcaM	
deoR	deoR	
yhfK	yhfK	
yfaX-rhmD	yfaX // rhmD	
asmA	asmA	
yadMLKC	yadC // yadK // yadL // yadM	
hisBHAFI	hisI // hisF // hisA // hisH // hisB	
ldcC	ldcC	
zur	zur	
fsr	fsr	
recN	recN	
mqsA	mqsA	
ihfA	ihfA	
nlpI	nlpI	
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	pnp // rpsO // truB // rbfA // infB // nusA // rimP // metY	
yhiI-rbbA-yhhJ	yhiI // rbbA // yhhJ	
rlmI	rlmI	
ychQA-kdsA	kdsA // ychA // ychQ	
cysDNC	cysC // cysN // cysD	
yeeL	yeeL	
sgrST-setA	sgrT // setA // sgrS	
inaA	inaA	Regulation of inaA by small regulatory RNA GcvB
arfA	arfA	
pepD	pepD	
leuLABCD	leuD // leuC // leuB // leuA // leuL	
ompR-envZ	envZ // ompR	
ydhIJK	ydhK // ydhJ // ydhI	
uppS-cdsA	ispZ // cdsA // ispU	
ynaI	ynaI	
rrsE-gltV-rrlE-rrfE	rrfE // rrlE // gltV // rrsE	
ligT	thpR	
metK	metK	
yeiL	yeiL	
mnmG-rsmG	mnmG // rsmG	
rnb	rnb	
ssb	ssb	
yedS	yedS	
ytjC	ytjC	
ispB	ispB	Regulation of ispB by DNA-binding transcriptional dual regulator Nac
gyrB	gyrB	
malPQ	malQ // malP	
rpmF-plsX-fabHDG	fabG // fabD // fabH // plsX // rpmF	
pepD	pepD	
topA	topA	
ybjL	ybjL	
elbB-mtgA	elbB // mtgA	
ydeJ	ydeJ	
cyaR	cyaR	
rrsC-gltU-rrlC-rrfC	rrfC // rrlC // gltU // rrsC	
gabDTP	gabP // gabT // gabD	Regulation of gabDTP by ppGpp
glnS	glnS	
yoaF	yoaF	
aldA	aldA	
yccT	yccT	Regulation of yccT by ppGpp
ynfC	ynfC	
arcA	arcA	
yhaI	yhaI	Regulation of yhaI by DNA-binding transcriptional dual regulator Nac
rlmG	rlmG	
yegL-pphC	yegL // pphC	
dsdC	dsdC	
lolA-rarA	rarA // lolA	
dnaN-recF	recF // dnaN	
proS	proS	
hiuH-msrPQ	msrQ // msrP // hiuH	
yjgN	yjgN	Regulation of yjgN by DNA-binding transcriptional dual regulator Nac
rfaQGPSBIJYZ-waaU	waaU // waaZ // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ	
fdnGHI	fdnG // fdnH // fdnI	
ibsC	ibsC	Regulation of ibsC by small regulatory RNA antitoxin SibC
ompR-envZ	envZ // ompR	
ybjS	ybjS	
ppiD	ppiD	
yjgH	yjgH	Regulation of yjgH by ppGpp
mcbA	mcbA	
yjcB	yjcB	
metY	metY	
rlmM	rlmM	Regulation of rlmM by DNA-binding transcriptional dual regulator Nac
yhjR	yhjR	
ldtC	ldtC	Regulation of ldtC by small regulatory RNA MicA
zapE	zapE	
ibaG	ibaG	
putP	putP	
udp	udp	
mfd	mfd	
gspAB	gspB // gspA	
yraN	yraN	
fdhF	fdhF	
ypdI	ypdI	
kdsC-lptCAB	lptB // lptA // lptC // kdsC	
ybhJ	ybhJ	
aidB	aidB	Regulation of aidB by ppGpp
glcC	glcC	
yeeP	yeeP	
ycaP	ycaP	Regulation of ycaP by ppGpp
ynjH	ynjH	
pykF	pykF	
pth-ychF	ychF // pth	Regulation of pth-ychF by ppGpp
dtpB	dtpB	Regulation of dtpB by ppGpp
tolB-pal-ybgF	cpoB // pal // tolB	Regulation of tolB-pal-ybgF by small regulatory RNA MicA
adk	adk	
exbD	exbD	
frwD	frwD	
fepA-entD	entD // fepA	
ssrS-ygfA	fau // ssrS	
yedEF	yedF // yedE	
malK-lamB-malM	malK // lamB // malM	
rrsG-gltW-rrlG-rrfG	rrfG // rrlG // gltW // rrsG	
mtfA	mtfA	Regulation of mtfA by DNA-binding transcriptional dual regulator Nac
mdoGH	opgH // opgG	
araBAD	araD // araA // araB	
yjhA	nanC	
aat	aat	
ftnB	ftnB	
pheU	pheU	
cpxPQ	cpxQ // cpxP	
ygjR	ygjR	
yegP	yegP	Regulation of yegP by ppGpp
rlmL-uup	rlmL // uup	
mhpABCDFE	mhpF // mhpE // mhpD // mhpC // mhpB // mhpA	
appY	appY	
rne	rne	Regulation of rne by ribonuclease E
ansB	ansB	
caiF	caiF	
ppc	ppc	
dacD	dacD	
proP	proP	
blc	blc	Regulation of blc by ppGpp
yieEF	yieF // yieE	
mreB	mreB	
yraH	yraH	Regulation of yraH by DNA-binding transcriptional dual regulator Nac
queG	queG	
arcA	arcA	
yeeN	yeeN	
smtA-mukFEB	mukB // mukE // mukF // cmoM	
sodC	sodC	Regulation of sodC by ppGpp
amn	amn	
cspA	cspA	Regulation of cspA by NIL
yhcC	yhcC	Regulation of yhcC by DNA-binding transcriptional dual regulator Nac // Regulation of yhcC by ArgR-L-arginine DNA-binding transcriptional dual regulator
ycgZ-ymgA-ariR-ymgC	ymgC // ariR // ymgA // ycgZ	
yjjK	ettA	
ybaB-recR	recR // ybaB	
groSL	groL // groS	
truD	truD	
ygjV	ygjV	
ebgR	ebgR	
ybiYW	ybiY // ybiW	
ybhL	ybhL	
arrS	arrS	
ompR-envZ	envZ // ompR	
dmsABC	dmsC // dmsB // dmsA	
yifB	yifB	
yecDE	yecE // yecD	
yoaH	yoaH	
ygbA	ygbA	
gyrA	gyrA	
gltX	gltX	
gcd	gcd	
yjfZ	yjfZ	
ybgS	ybgS	Regulation of ybgS by ppGpp
ydhQ	ydhQ	
macAB	macB // macA	
ubiG	ubiG	
rrsH-ileV-alaV-rrlH-rrfH	rrfH // rrlH // alaV // ileV // rrsH	
acnA	ymiC // acnA	
yhbW	yhbW	Regulation of yhbW by DNA-binding transcriptional dual regulator SoxS // Regulation of yhbW by DNA-binding transcriptional dual regulator Rob // Regulation of yhbW by DNA-binding transcriptional dual regulator MarA
hscBA-fdx-iscX	iscX // fdx // hscA // hscB	
cadC	cadC	
serT	serT	
serS	serS	
cysE	cysE	Regulation of cysE by small regulatory RNA RyhB
cusCFBA	cusA // cusB // cusF // cusC	
yeiP	yeiP	
gstB	gstB	
insH6	insH6	
cecR-ybhGFSR	cecR // ybhG // ybhF // ybhS // ybhR	
norR	norR	
yedI	yedI	
ygbK	ygbK	
agaSYBCDI	agaI // agaD // agaC // agaB // kbaY // agaS	
astCADBE	astE // astB // astD // astA // astC	
ybjJI	ybjJ // ybjI	Regulation of ybjJI by DNA binding transcriptional dual regulator RcdA // Regulation of ybjJI by DNA binding transcriptional dual regulator RcdA
flgK	flgO // flgL // flgK	
nusA-infB	infB // nusA	
ndh	ndh	
yqjG	yqjG	
pykF	pykF	
nupC	nupC	
fimAICDFGH	fimD // fimH // fimG // fimF // fimC // fimI // fimA	
nupG	nupG	
yebF	yebF	Regulation of yebF by ppGpp
nagK-cobB	cobB // nagK	
mqsA	mqsA	
dcuC	dcuC	
yhcG	yhcG	
hemN	hemN	
yeiI	yeiI	
gstA	gstA	
thrU-tyrU-glyT-thrT-tufB	tufB // thrU // tyrU // glyT // thrT	
greA	greA	
wbbIJK	wbbK // wbbJ // wbbI	
yjgD	rraB	
lhr	lhr	
feaR	feaR	
narUZYWV	narV // narW // narY // narZ // narU	Regulation of narUZYWV by DNA-binding transcriptional dual regulator OmpR-phosphorylated
ssrS	ssrS	
ftnB	ftnB	
uhpB	uhpB	
dapD	dapD	
yecT	yecT	
yodD	yodD	
yhaKL	yhaL // yhaK	Regulation of yhaKL by DNA-binding transcriptional activator YhaJ
msrPQ	msrQ // msrP	
bamD	bamD	
dinG-ybiB	ybiB // dinG	
ybjC-nfsA-rimK-ybjN	ybjN // rimK // nfsA // ybjC	
ybiI	ybiI	
ygjP	ygjP	
putP	putP	
pyrH	pyrH	
fxsA	fxsA	
entS	entS	
metF	metF	
yjcC	pdeC	
glyW-cysT-leuZ	3'ETS-<i>leuZ</i> // leuZ // cysT // glyW	
pflA	pflA	
yjgZ	yjgZ	
micF	micF	
clpPX	clpP // clpX	
mqsRA	mqsR // mqsA	
nudF-yqiB-cpdA-yqiA-parE	nudF // yqiB // cpdA // yqiA // parE	Regulation of nudF-yqiB-cpdA-yqiA-parE by DNA-binding transcriptional regulator CreB-phosphorylated
yeeRST-cbeA-cbtA-yeeW	yeeW // cbtA // cbeA // yeeT // yeeS // yeeR	
malXY	malX // malY	
ybhC	ybhC	
yhfG-fic-pabA	pabA // fic // yhfG	
bglA	bglA	
lacI	lacI	
ftnA	ftnA	
yhiM	yhiM	
speC	speC	
garD	garD	
fruBKA	fruA // fruK // fruB	
ybiO	ybiO	
cdh	cdh	
ybfF	ybfF	
yiaT	yiaT	
rpoH	rpoH	
mtr	mtr	
rne	rne	Regulation of rne by ribonuclease E
yqjCDEK	yqjK // yqjE // yqjD // yqjC	
yhaBC	yhaC // yhaB	
serV-argVYZQ	argQ // argZ // argY // argV // serV	
cyoABCDE	cyoE // cyoD // cyoC // cyoB // cyoA	
bacA	bacA	
cspA	cspA	
yejO	yejO	
yfhA	glrR	
fucAO	fucO // fucA	Regulation of fucAO by DNA-binding transcriptional activator YgfI
yjgA	yjgA	
metG	metG	
setB	setB	
ybfQ	ybfQ	
pykA	pykA	
osmC	osmC	Regulation of osmC by ppGpp
yecN-cmoAB	cmoB // cmoA // yecN	
yzgL	yzgL	
hcxB	hcxB	
yjiC	yjiC	
rpiB	rpiB	
hemL	hemL	
serX	serX	
ybhK	ybhK	
metNIQ	metQ // metI // metN	
lptAB	lptB // lptA	
uhpT	uhpT	
mntP	mntP	Regulation of mntP by Mn2+
icd	icd	
srkA-dsbA	dsbA // srkA	
sdiA	sdiA	Regulation of sdiA by DNA-binding transcriptional dual regulator Nac
norVW	norW // norV	
yqjA-mzrA	mzrA // yqjA	
ybiU	ybiU	
fliE	fliE	
glmUS	glmS // glmU	Regulation of glmUS by small regulatory RNA GlmZ
mepS	mepS	
lptB-rpoN-hpf-ptsN-yhbJ	rapZ // ptsN // hpf // rpoN // lptB	
ubiK	ubiK	
yeeA	yeeA	
ychF	ychF	
ribA	ribA	
csrB	csrB	Regulation of csrB by DksA-ppGpp // Regulation of csrB by ppGpp // Regulation of csrB by RNA polymerase-binding transcription factor DksA
paaJ	paaJ	
yciY	yciY	
rep	rep	
leuU	leuU	
dolP	dolP	
ychH	ychH	Regulation of ychH by ppGpp
yecA	yecA	
aldB	aldB	
lysP	lysP	
pspG	pspH // pspG	
tolC-ygiBC	ygiA // ygiC // ygiB // tolC	
yicS	yicS	
eda	eda	
yedK	yedK	
glyU	glyU	
yghQ	yghQ	
pgk	pgk	
yraIJK	yraK // yraJ // yraI	
alsRBACE	alsE // alsC // alsA // alsB // alsR	
yiaU	yiaU	
cdaR	cdaR	
ybbB	selU	
yqiJK	yqiK // yqiJ	
ybiN	rlmF	Regulation of ybiN by DNA-binding transcriptional dual regulator Nac
relA-mazEF	mazF // mazE // relA	
ybfL	ybfL	
abrB	abrB	
galE	galE	
leuQPV	leuV // leuP // leuQ	
fliFGHIJK	fliK // fliJ // fliI // fliH // fliG // fliF	
ptrA-recBD	ptrA // recB // recD	
ybeF	ybeF	
msrC	msrC	
yjjN	lgoD	Regulation of yjjN by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of yjjN by ExuR-alpha-D-galacturonate, alpha-D-glucuronate-DNA-binding transcriptional repressor // Regulation of yjjN by DNA-binding transcriptional repressor UxuR
malQ	malQ	
mdh	mdh	
ymdA	ymdA	
valS	valS	
pspF	pspF	
yidP	yidP	
tnaCAB	tnaC // tnaA // tnaB	
ymdF	ymdF	
carAB	carA // carB	
fkpA	fkpA	
sdsR-pphA	pphA // sdsR	
sibD	sibD	
yjjW	yjjW	
valVW	valV // valW	
iaaA-gsiABCD	gsiD // gsiC // gsiB // gsiA // iaaA	
pfkB	pfkB	
pgk-fbaA	fbaA // pgk	
yidR	yidR	
dgcQ	dgcQ	
valZ-lysY	lysY // valZ	
htpG	htpG	
rhoL-rho	rhoL // rho	
letAB	letB // letA	
lfhA	lfhA	
serB-radA	radA // serB	
plsB	plsB	
lysZ	lysZ	
rfaH	rfaH	Regulation of rfaH by DNA-binding transcriptional dual regulator Nac
yeaO	yeaO	
nagE	nagE	
pck	pck	
ygiF-glnE	ygiF // glnE	
proL	proL	
adhE	adhE	
atoDAEB	atoB // atoD // atoA // atoE	
sdhCDAB-sucABCD-sdhX	sdhX // sdhC // sdhD // sdhA // sdhB // sucA // sucB // sucC // sucD	Regulation of sdhCDAB-sucABCD-sdhX by small regulatory RNA RyhB // Regulation of sdhCDAB-sucABCD-sdhX by small regulatory RNA RyhB
asnC	asnC	
rpsU	rpsU	
xapB	xapB	
fabB	fabB	
ubiT-yhbS	ubiT // yhbS	
rimL	rimL	
lsp-fkpB-ispH	ispH // fkpB // lspA	
yaiS	yaiS	Regulation of yaiS by DNA-binding transcriptional dual regulator Nac
ubiEJB	ubiB // ubiJ // ubiE	
nhaR	nhaR	Regulation of nhaR by DNA-binding transcriptional dual regulator YdeO
yidX	yidX	
glnA	glnA	
flxA	flxA	
oppBCDF	oppF // oppD // oppC // oppB	
tig	tig	
argG	argG	
yhhX	yhhX	
yghB	yghB	
yebV	yebV	Regulation of yebV by ppGpp
ykgL	ykgL	Regulation of ykgL by DNA-binding transcriptional dual regulator Nac
ygjI	ygjI	Regulation of ygjI by DNA-binding transcriptional repressor GlaR // Regulation of ygjI by DNA-binding transcriptional dual regulator Nac
holE	holE	
fadM	fadM	
ygfI	srsR	Regulation of ygfI by DNA-binding transcriptional dual regulator Nac
yghX	yghX	
cusRS	cusS // cusR	
nadAp // pnuC // nadA	pnuC // nadA	
yhbP	yhbP	
ybiB	ybiB	
argW	argW	
narWV	narV // narW	
pykF	pykF	
ybaY	ybaY	
ybeR-djlB	djlB // ybeR	
metZWV	metZ // metW // metV	
yliI	yliI	
yifE	maoP	Regulation of yifE by DNA-binding transcriptional dual regulator HdfR // Regulation of yifE by small regulatory RNA RybB
speE	speE	
ybdK	ybdK	Regulation of ybdK by DNA-binding transcriptional dual regulator Nac // Regulation of ybdK by ppGpp
yhbO	yhbO	Regulation of yhbO by DNA-binding transcriptional dual regulator Rob // Regulation of yhbO by ppGpp
yedRJ	drpB // yedJ	
betT	betT	
malT	malT	
qseBC	qseC // qseB	
alaS	alaS	
yobA-yebZY	yobA // yebZ // yebY	Regulation of yobA-yebZY by small regulatory RNA FnrS
uvrA	uvrA	
yciN	yciN	
qorA	qorA	
xapB	xapB	
cysPUWAM	cysM // cysA // cysW // cysU // cysP	
modEF	modE // modF	
cysG	cysG	
fhuACDB	fhuA // fhuC // fhuD // fhuB	
rpnD	rpnD	
leuS-lptE-holA-nadD-cobC	leuS // lptE // holA // nadD // cobC	
uxuAB	uxuB // uxuA	
rpmI-rplT	rplT // rpmI	Regulation of rpmI-rplT by 50S ribosomal subunit protein L20
acrD	acrD	
chiA	chiA	
ftsP	ftsP	
higBA	higB // higA	
asnV	asnV	
citCDEFXG	citG // citX // citF // citE // citD // citC	
yeaVW	yeaW // yeaV	
